Identificação,QNT_Quantum,MediaTrocas,MediaIntrucoes,Tipo
Quantum1,1,5.5,2.5272727272727273,Quantum1
Quantum2,2,4.6,3.0217391304347827,Quantum2
Quantum3,3,4.3,3.2325581395348837,Quantum3
Quantum4,4,4.2,3.3095238095238093,Quantum4
Quantum5,5,3.7,3.7567567567567566,Quantum5
Quantum6,6,3.6,3.861111111111111,Quantum6
Quantum7,7,3.5,3.9714285714285715,Quantum7
Quantum8,8,3.5,3.9714285714285715,Quantum8
Quantum9,9,3.5,3.9714285714285715,Quantum9
Quantum10,10,3.5,3.9714285714285715,Quantum10
Quantum11,11,3.5,3.9714285714285715,Quantum11
Quantum12,12,3.5,3.9714285714285715,Quantum12
Quantum13,13,3.5,3.9714285714285715,Quantum13
Quantum14,14,3.4,4.088235294117647,Quantum14
Quantum15,15,3.4,4.088235294117647,Quantum15
Quantum16,16,3.4,4.088235294117647,Quantum16
Quantum17,17,3.4,4.088235294117647,Quantum17
Quantum18,18,3.4,4.088235294117647,Quantum18
Quantum19,19,3.4,4.088235294117647,Quantum19
Quantum20,20,3.4,4.088235294117647,Quantum20
Quantum21,21,3.3,4.212121212121212,Quantum21
